"﻿ROLL_NUMBER","RSN","PID","LAT_LONG","PROPERTY_ADDRESS","PROPERTY_POSTAL_CODE","GEOCODE_ADDRESS","YEAR_BUILT","TYPE","PRIMARY_USE","DESCRIPTION","APPROX_BUILDING_AREA","HVAC","FLOORS","PROPERTY_BUILDINGS","NOTES","ORDER","EUI","ENERGY_STAR_SCORE","GREENHOUSE_GAS_EMISSIONS"
"R083221000","20333","4863968","[46.177836,-120.144672]","7080 RIVER RD  ","V6X 1X5","7080 RIVER RD @","1975","Commercial","Storage & Warehousing","Warehouse, Storage","415,600","Package Unit","2","1","N/A","25",59,125,78
"R133003000","38460","N/A","[46.205194,-120.168501]","5940 FERGUSON RD  ","V7B 0B1","5940 FERGUSON RD @","2013","Institutional","Government Buildings","Governmental Building","111,615","Hot and Chilled Water","1","1","Pacific Processing Centre","12",99,33,78
"R028322004","42270","7793596","[46.1605254,-120.0225895]","18111 BLUNDELL RD  ","V6W 1L8","18111 BLUNDELL RD @","2002","Commercial","Storage & Warehousing","Warehouse, Distribution","412,180","N/A","1","1","HBC Warehouse","26",104,61,94
"R083975900","170838","25530372","[46.18403,-120.133617]","4151 HAZELBRIDGE WAY  ","V6X 4J7","4151 HAZELBRIDGE WAY @","2003","Commercial","Shopping Centre (Community)","Community Shopping Centre","395,419","Wall Furnace","3","1","Aberdeen Centre","28",107,29,94
"R053279390","2321","13096346","[46.1118589,-120.1284786]","13911 GARDEN CITY RD  ","V7A 2S5","13911 GARDEN CITY RD","1956","Commercial","Storage & Warehousing","Warehouse, Storage","388,508","N/A","1","1","Crown Packaging","27",26,90,103
"R119956015","152000","28105362","[46.18681,-119.957977]","3933 BOUNDARY RD  ","V6V 1T8","3933 BOUNDARY RD @","1965","Commercial","Industrial","Warehouse, Storage","383,246","Space Heater","1","1","N/A","22",81,101,52
"R136500000","84540","9025103","[46.195254,-120.175193]","3111 GRANT MCCONACHIE WAY  ","V7B 0A6","3111 GRANT MCCONACHIE WAY","1998","Commercial","Hotel","Hotel - Full Service","343,002","N/A","12","2","C2 - The Fairmount Hotel","32",55,77,106
"R082265001","60367","18553010","[46.1852495,-120.1348463]","100-8181 CAMBIE RD  ","V6X 3X9","8181 CAMBIE RD @","1994","Commercial","Hotel","Hotel - Full Service","340,445","N/A","11","1","Radisson Hotel & President Plaza","31",81,41,85
"R057586997","82677","15676692","[46.171108,-120.141931]","7551 WESTMINSTER HWY  ","V6X 1A3","7551 WESTMINSTER HWY @","2007","Commercial","Hotel","Hotel - Full Service","305,426","N/A","8","1","Sheraton Hotel","44",92,37,34
"R028322020","164096","7793499","[46.154408,-120.043279]","16100 BLUNDELL RD  ","V6W 0A2","16100 BLUNDELL RD @","2013","Commercial","Storage & Warehousing","Warehouse, Distribution","298,591","N/A","1","4","C5","45",52,44,105
"R086224000","55873","17560616","[46.184855,-120.144405]","3800 CESSNA DR  ","V7B 1C7","3800 CESSNA DR @","2007","Institutional","Government Buildings","College","483,433","Hot and Chilled Water","5","1","BCIT","21",63,118,128
"R006891084","88625","25452886","[46.156593,-120.01578]","7451 NELSON RD  ","V6W 1G3","7451 NELSON RD @","2001","Commercial","Storage & Warehousing","Warehouse, Distribution","298,050","Package Unit","1","1","N/A","49",115,58,26
"R028322017","176718","7793553","[46.157081,-120.045161]","16111 BLUNDELL RD  ","V6W 0A3","16111 BLUNDELL RD @","2012","Commercial","Storage & Warehousing","Warehouse, Distribution","283,759","Forced Air Unit","1","1","N/A","15",96,70,88
"R080921080","19824","1023047","[46.187643,-120.110358]","10211 ST EDWARDS DR  ","V6X 2M8","10211 ST EDWARDS DR","1962","Commercial","Hotel","Hotel - Full Service","265,012","Package Unit","15","1","Sandman Signature Hotel","57",91,90,73
"R119956004","145398","4403142","[46.196515,-120.127382]","8811 RIVER RD  ","V6X 3P8","8811 RIVER RD @","1988","Commercial","Hotel","Hotel - Full Service","255,391","Warmed and Cooled Air","8","1","River Rock Casino Hotel","154",94,88,44
"R028322009","42275","N/A","[46.152047,-120.033884]","16080 PORTSIDE RD  ","V6W 1M1","16080 PORTSIDE RD @","2012","Commercial","Storage & Warehousing","Warehouse, Distribution","251,379","N/A","1","2","C19","81",70,64,68
"R028322021","164097","7793499","[46.152387,-120.043001]","16108 BLUNDELL RD  ","V6W 0A2","16108 BLUNDELL RD @","2013","Commercial","Storage & Warehousing","Warehouse, Distribution","235,250","N/A","1","4","C5","46",45,63,79
"R117095050","112179","26264854","[46.2010045520688,-120.103002084074]","11300 TWIGG PL  ","V6V 3C1","11300 TWIGG PL @","2006","Commercial","Storage & Warehousing","Warehouse, Storage","234,927","N/A","1","1","N/A","60",62,73,47
"R082485512","20326","5835151","[46.190927,-120.140421]","3500 CESSNA DR  ","V7B 1C7","3500 CESSNA DR @","1974","Commercial","Hotel","Hotel - Full Service","231,319","Hot and Chilled Water","12","1","Pacific Gateway Hotel","62",97,29,80
"R084502001","169218","29118832","[46.183886,-120.13526]","4000 NO 3 RD  ","V6X 0J8","4000 NO 3 RD","2013","Commercial","Commercial Strata-Lot","Mixes Retail With Office Units","230,568","N/A","8","1","Aberdeen Square","63",59,37,92
"R079848052","19200","3701123","[46.193804,-120.097112]","2700 SIMPSON RD  ","V6X 2P9","2700 SIMPSON RD @","1967","Commercial","Storage & Warehousing","Warehouse, Storage","225,171","Package Unit","1","1","N/A","68",116,104,102
"R006891083","88624","25452878","[46.1615825576309,-120.014419754359]","7271 NELSON RD  ","V6W 1L3","7271 NELSON RD @","1999","Commercial","Storage & Warehousing","Warehouse, Distribution","221,570","Package Unit","2","1","N/A","71",26,52,93
"R083301001","85805","24720950","[46.179356,-120.138274]","4651 NO 3 RD  ","V6X 2C4","4651 NO 3 RD","1976","Commercial","Big Box","Supermarket","214,850","Complete HVAC","2","1","Real Canadian Superstore","43",28,89,29
"R130628000","N/A","15922545","[46.17965,-120.175242]","4551 AGAR DR  ","V7B 1A4","4551 AGAR DR @","1995","Commercial","Industrial","Hangar, Maintenance & Office","212,309","Package Unit","2","1","Airport Warehouse Area","72",27,54,26
"R032965081","40180","4033221","[46.200784,-120.067745]","1700 NO 6 RD  ","V6V 1W3","1700 NO 6 RD","1973","Commercial","Storage & Warehousing","Warehouse, Storage","209,832","Package Unit","1","1","N/A","38",103,79,25
"R005502070","83329","24251186","[46.167695,-119.982245]","6320 FRASERWOOD PL  ","V6W 1J4","6320 FRASERWOOD PL @","2000","Commercial","Storage & Warehousing","Warehouse, Storage","209,421","Warmed and Cooled Air","2","1","N/A","74",82,84,36
"R007313421","122640","26536935","[46.155566,-120.014027]","7791 NELSON RD  ","V6W 1G3","7791 NELSON RD @","2006","Commercial","Storage & Warehousing","Warehouse, Distribution","208,462","Package Unit","2","1","N/A","75",66,62,127
"R039691002","1588","3692132","[46.1854919414559,-120.070277902948]","3971 NO 6 RD  ","V6V 1P6","3971 NO 6 RD","1975","Commercial","Storage & Warehousing","Warehouse, Storage","204,008","Package Unit","2","1","N/A","85",45,77,52
"R033057000","83505","24285862","[46.200064,-120.065514]","14260 KNOX WAY  ","V6V 2Z7","14260 KNOX WAY @","1999","Commercial","Storage & Warehousing","Warehouse, Storage","202,450","Package Unit","1","1","N/A","86",78,82,98
"R083800058","56666","17863261","[46.1817379,-120.1349896]","4380 NO 3 RD  ","V6X 3V7","4380 NO 3 RD","1992","Commercial","Commercial Strata-Lot","Strata General Commercial","200,712","Package Unit","2","1","Parker Place","87",35,87,29
"R028322006","42272","N/A","[46.153682,-120.031073]","16082 PORTSIDE RD  ","V6W 1M1","16082 PORTSIDE RD @","2012","Commercial","Storage & Warehousing","Warehouse, Distribution","198,965","N/A","1","2","C19","82",42,23,36
"R058294001","3747","2398371","[46.171599,-120.149555]","6951 WESTMINSTER HWY  ","V7C 1C6","6951 WESTMINSTER HWY @","1981","Institutional","Government Buildings","Office","344,236","Package Unit","6","1","WorkSafe BC","42",55,72,63
"R079236004","41555","6108423","[46.1993891,-120.1222657]","9311 RIVER DR  ","V6X 1Z1","9311 RIVER DR @","1969","Commercial","Storage & Warehousing","Warehouse, Storage","192,268","Package Unit","1","1","N/A","54",70,71,55
"R028322062","99170","N/A","[46.152035,-120.03857]","16068 PORTSIDE RD  ","V6W 1M1","16068 PORTSIDE RD @","2012","Commercial","Storage & Warehousing","Warehouse, Distribution","189,389","N/A","1","3","C18","80",28,37,80
"R051516051","2246","3408736","[46.124705,-120.101995]","12211 HORSESHOE WAY  ","V7A 4V4","12211 HORSESHOE WAY @","1982","Commercial","Storage & Warehousing","Warehouse, Storage","188,405","Package Unit","2","1","N/A","89",46,24,72
"R028322030","172961","7793499","[46.154408,-120.038956]","16160 BLUNDELL RD  ","V6W 0A2","16160 BLUNDELL RD @","2008","Commercial","Storage & Warehousing","Warehouse, Distribution","187,795","N/A","1","4","C5","47",102,125,31
"R132630000","178554","N/A","[46.18778,-120.157497]","3611 JERICHO RD  ","V7B 1M3","3611 JERICHO RD @","N/A","Commercial","Storage & Warehousing","Warehouse, Storage","185,421","N/A","1","1","Purolator Warehouse","7",41,68,103
"R039828005","41618","5973651","[46.1871747740607,-120.076253840937]","13480 CRESTWOOD PL  ","V6V 2K1","13480 CRESTWOOD PL @","1989","Commercial","Storage & Warehousing","Industrial Flex Building","182,800","Package Unit","2","1","N/A","92",106,42,46
"R033857000","1445","4079965","[46.1965201765588,-120.070319262249]","2351 NO 6 RD  ","V6V 1P3","2351 NO 6 RD","1972","Commercial","Storage & Warehousing","Warehouse, Storage","182,226","N/A","1","1","N/A","93",24,52,26
"R082513024","174838","26601621","[46.189424,-120.141503]","3600 LYSANDER LANE  ","V7B 1C3","3600 LYSANDER LANE @","1989","Commercial","Office Building (Primary Use)","Office","181,829","Warmed and Cooled Air","5","1","N/A","94",48,77,61
"R130486000","55995","N/A","[46.182333,-120.173022]","4380 AGAR DR  ","V7B 1A3","4380 AGAR DR @","1972","Commercial","Industrial","Hangar, Maintenance & Office","181,104","Package Unit","3","1","Airport Warehouse Area","30",109,71,33
"R016329000","85093","24546364","[46.1753248543235,-120.070458163122]","13800 COMMERCE PKY  ","V6V 2J3","13800 COMMERCE PKY @","1988","Commercial","Office Building (Primary Use)","Office","179,455","Package Unit","2","1","N/A","95",73,68,33
"R039829000","35615","3107779","[46.1855675538781,-120.07519491522]","3751 VIKING WAY  ","V6V 1W1","3751 VIKING WAY @","1975","Commercial","Storage & Warehousing","Warehouse, Distribution","176,158","Radiant Space Heaters","1","1","N/A","96",86,76,102
"R039696000","1592","6549586","[46.1893789615489,-120.07223694055]","3300 VIKING WAY  ","V6V 1N6","3300 VIKING WAY @","1973","Commercial","Storage & Warehousing","Warehouse, Storage","174,000","Package Unit","1","1","N/A","99",68,94,78
"R079998035","19211","780596","[46.1958544,-120.0931163]","2251 NO 5 RD  ","V6X 2S8","2251 NO 5 RD","1956","Commercial","Storage & Warehousing","Warehouse, Storage","171,455","Package Unit","1","1","N/A","53",57,96,68
"R033638705","112082","14369869","[46.195828,-120.08229]","12757 VULCAN WAY  ","V6V 1J7","12757 VULCAN WAY @","2007","Commercial","Storage & Warehousing","Industrial Flex Building","166,727","Package Unit","2","4","C7","64",29,63,55
"R033847050","1437","3753956","[46.195368,-120.074377]","2551 VIKING WAY  ","V6V 1N4","2551 VIKING WAY @","1967","Commercial","Industrial","Industrial Light Manufacturing","164,839","Package Unit","2","1","N/A","102",71,134,57
"R079915056","71116","3578259","[46.1957998564765,-120.096235168691]","11500 RIVER RD  ","V6X 1Z7","11500 RIVER RD @","1956","Commercial","Storage & Warehousing","Warehouse, Storage","163,356","Package Unit","1","1","N/A","104",103,46,107
"R041673999","64456","6768415","[46.1820331522857,-120.074013754942]","13711 MAYFIELD PL  ","V6V 2G9","13711 MAYFIELD PL @","1987","Commercial","Storage & Warehousing","Warehouse, Storage","162,577","Space Heater","2","1","N/A","105",81,46,58
"R039687032","80599","5147263","[46.1892452418689,-120.070275499184]","3231 NO 6 RD  ","V6V 1P6","3231 NO 6 RD","1971","Commercial","Storage & Warehousing","Cold Storage Facility","161,829","Hot Water","1","1","N/A","29",69,60,123
"R073087002","85782","24715751","[46.1390106,-120.148685]","10331 GILBERT RD  ","V7E 2H2","10331 GILBERT RD @","N/A","Institutional","Schools & Universities, College Or Technical Schools","Secondary School","214,232","N/A","2","1","London/Steveston Secondary","61",80,58,122
"R041674003","50389","15564223","[46.1829907849284,-120.07458916033]","4611 VIKING WAY  ","V6V 2K9","4611 VIKING WAY @","1992","Commercial","Storage & Warehousing","Industrial Flex Building","160,930","Package Unit","2","1","N/A","108",59,29,104
"R006891104","130659","26834839","[46.1609903892462,-120.019363843432]","18233 BLUNDELL RD  ","V6W 1L8","18233 BLUNDELL RD @","2007","Commercial","Storage & Warehousing","Warehouse, Distribution","159,522","N/A","1","1","N/A","110",72,37,69
"R056754001","43328","9375392","[46.1714770289176,-120.132081465793]","5811 COONEY RD  ","V6X 3M1","5811 COONEY RD @","1988","Commercial","Office Building (Primary Use)","Office","157,060","Warmed and Cooled Air","6","1","N/A","112",88,24,57
"R132507001","35195","N/A","[46.190065,-120.1735103]","4840 MILLER RD  ","V7B 1K7","4840 MILLER RD @","1977","Commercial","Storage & Warehousing","Warehouse, Distribution","153,739","Space Heater","1","1","Airport Warehouse Area","2",130,24,71
"R033509013","1390","3645029","[46.1953335,-120.0866979]","2500 VAUXHALL PL  ","V6V 1Y8","2500 VAUXHALL PL @","1977","Commercial","Storage & Warehousing","Warehouse, Distribution","153,220","Space Heater","1","1","N/A","113",36,106,41
"R006891105","130660","26834847","[46.160143,-120.017063]","18331 BLUNDELL RD  ","V6W 1L8","18331 BLUNDELL RD @","2006","Commercial","Storage & Warehousing","Warehouse, Distribution","152,496","N/A","2","1","N/A","308",41,38,46
"R117094011","144919","27666905","[46.2014203864748,-120.105710673324]","11280 TWIGG PL  ","V6V 0A6","11280 TWIGG PL @","2008","Commercial","Commercial Strata-Lot","Strata Warehouse","151,822","N/A","1","1","N/A","114",62,76,77
"R045105000","36330","586382","[46.1301126,-120.0933956]","11411 NO 5 RD  ","V7A 4E8","11411 NO 5 RD","1984","Institutional","Office Building (Primary Use)","Office","108,861","Package Unit","2","1","RCMP","69",56,104,51
"R083220000","20332","4314433","[46.1794446880157,-120.141545925165]","7360 RIVER RD  ","V6X 1X6","7360 RIVER RD @","1978","Commercial","Storage & Warehousing","Warehouse, Storage","150,265","Package Unit","1","1","N/A","116",33,72,36
"R041358001","37758","3473414","[46.179184,-120.076428]","13240 WORSTER CRT  ","V6V 2B8","13240 WORSTER CRT @","1985","Commercial","Storage & Warehousing","Warehouse, Storage","147,989","Package Unit","1","1","N/A","55",126,92,30
"R028322062","106010","N/A","[46.149115,-120.045653]","16060 PORTSIDE RD  ","V6W 1M1","16060 PORTSIDE RD @","2012","Commercial","Storage & Warehousing","Warehouse, Distribution","147,674","N/A","1","3","C18","78",28,51,84
"R052100003","133576","27039153","[46.1181759278773,-120.102180359751]","11231 DYKE RD  ","V7A 0A1","11231 DYKE RD @","2006","Commercial","Storage & Warehousing","Warehouse, Storage","147,278","Package Unit","1","1","N/A","119",103,107,101
"R028322062","106011","N/A","[46.151108,-120.041188]","16062 PORTSIDE RD  ","V6W 1M1","16062 PORTSIDE RD @","2012","Commercial","Storage & Warehousing","Warehouse, Distribution","146,251","N/A","1","3","C18","79",37,83,119
"R079174000","18867","5816726","[46.1953142106582,-120.120135800209]","9300 VAN HORNE WAY  ","V6X 1W3","9300 VAN HORNE WAY","1972","Commercial","Storage & Warehousing","Warehouse, Distribution","145,527","Space Heater","2","1","N/A","122",104,77,86
"R005504001","80254","23866187","[46.1669346800775,-119.984676957837]","21500 GORDON WAY  ","V6W 1J8","21500 GORDON WAY @","1995","Commercial","Storage & Warehousing","Warehouse, Storage","144,640","Package Unit","2","1","N/A","126",105,101,78
"R084147141","82742","24173762","[46.1841243682834,-120.12614579412]","8888 ODLIN CRES  ","V6X 3Z8","8888 ODLIN CR @","1998","Commercial","Commercial Strata-Lot","Strata General Commercial","144,078","N/A","3","1","N/A","128",52,38,103
"R051573001","58173","18198091","[46.126893,-120.098258]","11871 HORSESHOE WAY  ","V7A 5H5","11871 HORSESHOE WAY @","1993","Commercial","Commercial Strata-Lot","Strata Warehouse","143,365","Space Heater","2","1","N/A","129",47,65,91
"R083302012","20341","3981479","[46.1804045184943,-120.138180446088]","4551 NO 3 RD  ","V6X 2C3","4551 NO 3 RD","1973","Commercial","Storage & Warehousing","Warehouse, Storage","141,220","Hot Water","1","1","N/A","133",86,53,27
"R078718001","53330","16936001","[46.192804511223,-120.122284761676]","9151 BRIDGEPORT RD  ","V6X 3L9","9151 BRIDGEPORT RD @","1988","Commercial","Big Box","Warehouse, Storage","141,183","Warmed and Cooled Air","1","1","Costco","134",64,46,44
"R006891087","156047","28291077","[46.158503,-120.017636]","7419 NELSON RD  ","V6W 1G3","7419 NELSON RD @","2003","Commercial","Storage & Warehousing","Warehouse, Storage","140,413","Package Unit","1","3","C6","50",50,45,77
"R082247005","151020","28071832","[46.190773,-120.133626]","3099 CORVETTE WAY  ","V6X 0E2","3099 CORVETTE WAY @","2009","Commercial","Hotel","Hotel - Full Service","139,021","N/A","13","3","R1 - Westin Wall Centre Hotel","135",57,71,54
"R006480580","114518","26322269","[46.1604629484005,-120.01164021407]","7200 NELSON RD  ","V6W 1G4","7200 NELSON RD @","2007","Commercial","Storage & Warehousing","Warehouse, Storage","138,844","Package Unit","1","1","N/A","138",28,86,81
"R012716901","88832","25133641","[46.1293190906755,-120.09135123011]","11388 NO 5 RD  ","V7A 4E7","11388 NO 5 RD","2003","Commercial","Storage & Warehousing","Warehouse, Storage","137,878","Package Unit","2","1","N/A","139",73,37,69
"R005502041","88348","25411179","[46.1665562087707,-119.980284398349]","21720 FRASERWOOD WAY  ","V6W 1J6","21720 FRASERWOOD WAY @","2002","Commercial","Storage & Warehousing","Warehouse, Storage","137,621","Package Unit","2","1","N/A","140",99,55,32
"R006891103","130658","26834821","[46.161458,-120.01716]","18279 BLUNDELL RD  ","V6W 1L8","18279 BLUNDELL RD @","2006","Commercial","Storage & Warehousing","Warehouse, Storage","136,562","Space Heater","1","1","N/A","141",75,79,52
"R032981012","40181","4033230","[46.199676771549,-120.067826085915]","1900 NO 6 RD ","V6V 1W3","1900 NO 6 RD","2012","Commercial","Storage & Warehousing","Cold Storage Facility","134,089","Complete HVAC","2","1","N/A","142",105,86,99
"R057585000","3691","7163428","[46.1773814720241,-120.14055129138]","7851 ALDERBRIDGE WAY  ","V6X 2A4","7851 ALDERBRIDGE WAY @","1969","Commercial","Industrial","Warehouse, Storage","132,918","Package Unit","1","1","Ebco Industries","33",84,103,34
"R041674001","50387","15564193","[46.1838896893359,-120.075556234296]","4311 VIKING WAY  ","V6V 2K9","4311 VIKING WAY @","1996","Commercial","Storage & Warehousing","Industrial Flex Building","132,852","Package Unit","2","1","N/A","143",88,64,46
"R041140067","1946","3758401","[46.1835012127063,-120.081336641516]","4151 JACOMBS RD  ","V6V 1N7","4151 JACOMBS RD @","N/A","Institutional","Schools & Universities, College Or Technical Schools","Secondary School","186,228","N/A","2","1","Cambie Secondary","90",131,59,68
"R057588247","84811","24509906","[46.1716397371546,-120.140924316986]","5911 MINORU BLVD  ","V6X 4C7","5911 MINORU BLVD @","1999","Commercial","Commercial Strata-Lot","Hotel - Full Service","132,192","Package Unit","15","1","Hilton Hotel","145",65,76,32
"R012664001","85745","24665266","[46.1324660809566,-120.090277481301]","11188 FEATHERSTONE WAY  ","V6W 1K9","11188 FEATHERSTONE WAY @","2004","Commercial","Storage & Warehousing","Warehouse, Storage","132,077","Package Unit","1","1","N/A","146",41,74,32
"R012716000","86855","24895130","[46.130507,-120.087941]","12111 RIVERSIDE WAY  ","V6W 1K8","12111 RIVERSIDE WAY @","2001","Commercial","Storage & Warehousing","Warehouse, Storage","130,744","Package Unit","1","1","N/A","70",67,41,38
"R033859001","1446","3469395","[46.1946986302386,-120.070312390949]","2551 NO 6 RD  ","V6V 1P3","2551 NO 6 RD","1974","Commercial","Storage & Warehousing","Warehouse, Distribution","129,972","Package Unit","1","1","N/A","147",88,104,44
"R083513021","20351","4060636","[46.1779246,-120.1352961]","4940 NO 3 RD  ","V6X 3A5","4940 NO 3 RD","1977","Commercial","Shopping Centre (Neighbourhood)","Neighbourhood Shopping Centre","128,770","Package Unit","5","1","N/A","149",53,134,65
"R006891087","156044","28291077","[46.158229,-120.015737]","7415 NELSON RD  ","V6W 1G3","7415 NELSON RD @","2003","Commercial","Storage & Warehousing","Warehouse, Storage","126,338","Package Unit","1","3","C6","51",92,63,70
"R057585246","81985","24105139","[46.170516,-120.140539]","7571 WESTMINSTER HWY  ","V6X 1A3","7571 WESTMINSTER HWY @","1998","Commercial","Hotel","Hotel - Full Service","125,851","Package Unit","15","1","Marriott Hotel","151",35,84,83
"R041866003","81751","24059064","[46.1790029137291,-120.072134151711]","13800 MAYCREST WAY  ","V6V 2J4","13800 MAYCREST WAY @","1999","Commercial","Storage & Warehousing","Warehouse, Storage","125,203","Space Heater","2","1","N/A","153",66,61,65
"R079166000","18859","4171471","[46.195747209035,-120.118953855528]","9500 VAN HORNE WAY  ","V6X 1W3","9500 VAN HORNE WAY","1974","Commercial","Storage & Warehousing","Warehouse, Storage","124,173","Forced Air Unit","1","1","N/A","109",35,130,126
"R033303067","1340","3644154","[46.197477,-120.079807]","13331 VULCAN WAY  ","V6V 1K4","13331 VULCAN WAY @","1974","Commercial","Storage & Warehousing","Warehouse, Storage","123,891","Space Heater","1","3","C4 - Refer to Lat/Long","41",42,86,32
"R060718000","146978","27840891","[46.164462,-120.115835]","6611 NO 4 RD  ","V6Y 2T2","6611 NO 4 RD","N/A","Institutional","Schools & Universities, College Or Technical Schools","Secondary School","166,161","N/A","2","1","MacNeill Secondary","101",46,60,115
"R033879999","81191","3486575","[46.1937175974347,-120.074758838179]","13571 VERDUN PL  ","V6V 1W5","13571 VERDUN PL @","1975","Commercial","Storage & Warehousing","Warehouse, Storage","123,580","Package Unit","1","1","N/A","155",46,64,63
"R059478094","180005","3629350","[46.1692328017808,-120.141479085818]","7333 GOLLNER AVE  ","V6Y 1Y4","7333 GOLLNER AVE @","1992","Residential","Seniors Licensed Care","Convalescent Hospital","164,000","Warmed and Cooled Air","3","1","N/A","103",107,27,99
"R059679009","61896","18938027","[46.1698792,-120.1332396]","8260 WESTMINSTER HWY  ","V6X 3Y2","8260 WESTMINSTER HWY @","1994","Commercial","Commercial Strata-Lot","Strata General Commercial","121,729","Package Unit","2","1","Springfield Public Market","157",45,104,28
"R058241070","68086","4919521","[46.170476,-120.155236]","6351 WESTMINSTER HWY  ","V7C 4V4","6351 WESTMINSTER HWY @","1978","Commercial","Storage & Warehousing","Warehouse, Storage","121,677","Package Unit","2","2","C11","120",52,84,94
"R070140002","86999","24921092","[46.1425486581711,-120.1122399998]","9460 NO 4 RD  ","V7A 2Y9","9460 NO 4 RD","N/A","Institutional","Schools & Universities, College Or Technical Schools","Secondary School","161,998","N/A","1","1","McNair Secondary","106",74,45,30
"R086999000","22386","3490394","[46.1304735441926,-120.179025765963]","4251 GARRY ST  ","V7E 2T9","4251 GARRY ST @","N/A","Institutional","Schools & Universities, College Or Technical Schools","Secondary School","161,553","N/A","2","1","McMath Secondary","107",38,38,75
"R005502040","83021","24203467","[46.167869,-119.978214]","22031 FRASERWOOD WAY  ","V6W 1J5","22031 FRASERWOOD WAY @","1998","Commercial","Storage & Warehousing","Warehouse, Storage","120,800","Package Unit","1","1","N/A","73",83,112,58
"R006891088","156041","28291085","[46.158378,-120.019735]","7433 NELSON RD  ","V6W 1G3","7433 NELSON RD @","2007","Commercial","Storage & Warehousing","Warehouse, Storage","120,013","Space Heater","1","2","C14 - Refer to Lat/Long","183",34,63,133
"R033638705","112083","14369869","[46.196126,-120.080681]","12759 VULCAN WAY  ","V6V 1J7","12759 VULCAN WAY @","2007","Commercial","Storage & Warehousing","Industrial Flex Building","119,368","Package Unit","2","4","C7","65",48,39,81
"R064661000","87688","25142674","[46.161334,-120.142655]","7171 MINORU BLVD  ","V6Y 1Z3","7171 MINORU BLVD @","N/A","Institutional","Schools & Universities, College Or Technical Schools","Secondary School","158,383","N/A","2","1","Springfield Secondary","111",48,105,93
"R007313424","122642","26536960","[46.1555009693241,-120.019340917273]","18351 MCCARTNEY WAY  ","V6W 0A1","18351 MCCARTNEY WAY @","2007","Commercial","Storage & Warehousing","Warehouse, Storage","119,318","N/A","1","1","N/A","158",43,40,57
"R081239001","39469","3584721","[46.1915320156183,-120.113122569615]","3071 ST EDWARDS DR ","V6X 3K4","3071 ST EDWARDS DR","1986","Commercial","Hotel","Hotel - Full Service","118,717","Ind Thu-Wall Heat Pump","12","1","Travelodge Hotel","161",77,96,63
